MA1542.2 OSR1
MA1646.2 OSR2
MA0711.2 OTX1
MA0712.3 OTX2
MA1544.2 OVOL1
MA1545.2 OVOL2
MA1961.2 PATZ1
MA0067.3 PAX2
MA1546.2 PAX3
MA0070.2 PBX1
MA1113.3 PBX2
MA1114.2 PBX3
MA0132.3 PDX1
MA0681.3 PHOX2B
MA0714.2 PITX3
MA0782.3 PKNOX1
MA1548.2 PLAGL2
MA0784.3 POU1F1
MA0785.2 POU2F1
MA0507.3 POU2F2
MA0627.3 POU2F3
MA0786.2 POU3F1
MA0790.2 POU4F1
MA0683.2 POU4F2
MA0791.2 POU4F3
MA1115.2 POU5F1
MA0628.2 POU6F1
MA1549.2 POU6F1
MA0793.2 POU6F2
MA1148.2 PPARA::RXRA
MA1550.2 PPARD
MA0066.2 PPARG
MA0508.4 PRDM1
MA1723.2 PRDM9
MA0716.2 PRRX1
MA0075.4 PRRX2
MA1149.2 RARA::RXRG
MA1552.2 RARB
MA1553.2 RARG
MA0718.2 RAX
MA0717.2 RAX2
MA1116.2 RBPJ
MA1117.2 RELB
MA0138.3 REST
MA0600.3 RFX2
MA0799.3 RFX4
MA0510.3 RFX5
MA1554.2 RFX7
MA0719.2 RHOXF1
MA0072.2 RORA
MA1150.2 RORB
MA1151.2 RORC
MA0073.2 RREB1
MA0684.3 RUNX3
MA1963.2 SATB1
MA0743.3 SCRT1
MA0744.3 SCRT2
MA0630.2 SHOX
MA1118.2 SIX1
MA1119.2 SIX2
MA1964.2 SMAD2
MA1558.2 SNAI1
MA0745.3 SNAI2
MA1559.2 SNAI3
MA1560.2 SOHLH2
MA0442.3 SOX10
MA1561.2 SOX12
MA1120.2 SOX13
MA1562.2 SOX14
MA1152.2 SOX15
MA0867.3 SOX4
MA0868.3 SOX8
MA0077.2 SOX9
MA0746.3 SP3
MA1965.2 SP5
MA0747.2 SP8
MA1564.2 SP9
MA0081.3 SPIB
MA0687.2 SPIC
MA0829.3 SREBF1
MA0084.2 SRY
MA0137.4 STAT1
MA0517.2 STAT1::STAT2
MA0144.3 STAT3
MA0091.2 TAL1::TCF3
MA0802.2 TBR1
MA1565.2 TBX18
MA0804.2 TBX19
MA0688.2 TBX2
MA1648.2 TCF12
MA1568.2 TCF21
MA0830.3 TCF4
MA0769.3 TCF7
MA0523.2 TCF7L2
MA0632.3 TCFL5
MA0090.4 TEAD1
MA1121.2 TEAD2
MA0809.3 TEAD4
MA0810.2 TFAP2A
MA0003.5 TFAP2A
MA0811.2 TFAP2B
MA0812.2 TFAP2B
MA0524.3 TFAP2C
MA0814.3 TFAP2C
MA1569.2 TFAP2E
MA1966.2 TFAP4::ETV1
MA1967.2 TFAP4::FLI1
MA1968.2 TFCP2
MA1122.2 TFDP1
MA0692.2 TFEB
MA0871.3 TFEC
MA0597.3 THAP1
MA1969.2 THRA
MA1574.2 THRB
MA1575.2 THRB
MA1576.2 THRB
MA1577.2 TLX2
MA0861.2 TP73
MA1970.2 TRPS1
MA1123.3 TWIST1
MA0721.2 UNCX
MA0093.4 USF1
MA0526.5 USF2
MA0722.2 VAX1
MA0723.3 VAX2
MA1578.2 VEZF1
MA0725.2 VSX1
MA0726.2 VSX2
MA0844.2 XBP1
MA0748.3 YY2
MA0749.2 ZBED1
MA1971.2 ZBED2
MA1649.2 ZBTB12
MA1650.2 ZBTB14
MA0698.2 ZBTB18
MA1579.2 ZBTB26
MA0527.2 ZBTB33
MA1581.2 ZBTB6
MA0750.3 ZBTB7A
MA0694.2 ZBTB7B
MA0695.2 ZBTB7C
MA0103.4 ZEB1
MA1651.2 ZFP42
MA1583.2 ZFP57
MA0751.2 ZIC4
MA1584.2 ZIC5
MA1709.2 ZIM3
MA1585.2 ZKSCAN1
MA1973.2 ZKSCAN3
MA1652.2 ZKSCAN5
MA1589.2 ZNF140
MA1653.2 ZNF148
MA1654.2 ZNF16
MA1725.2 ZNF189
MA1974.2 ZNF211
MA1975.2 ZNF214
MA1710.2 ZNF257
MA0528.3 ZNF263
MA1592.2 ZNF274
MA1630.3 ZNF281
MA1154.2 ZNF282
MA1593.2 ZNF317
MA1976.2 ZNF320
MA1977.2 ZNF324
MA1726.2 ZNF331
MA1655.2 ZNF341
MA1711.2 ZNF343
MA1978.2 ZNF354A
MA1125.2 ZNF384
MA0752.2 ZNF410
MA1979.2 ZNF416
MA1727.2 ZNF417
MA1656.2 ZNF449
MA1712.2 ZNF454
MA1981.2 ZNF530
MA1728.2 ZNF549
MA1982.2 ZNF574
MA1983.2 ZNF582
MA1713.2 ZNF610
MA1657.2 ZNF652
MA1984.2 ZNF667
MA1714.2 ZNF675
MA1729.2 ZNF680
MA1599.2 ZNF682
MA1600.2 ZNF684
MA1986.2 ZNF692
MA1987.2 ZNF701
MA1730.2 ZNF708
MA0753.3 ZNF740
MA1716.2 ZNF76
MA1731.2 ZNF768
MA1717.2 ZNF784
MA1719.2 ZNF816
MA1720.2 ZNF85
MA1721.2 ZNF93
MA1602.2 ZSCAN29
MA1722.2 ZSCAN31
MA0111.1 Spz1
MA2095.1 Sox7
MA2122.1 Ebf4
MA2123.1 Hand1
MA2124.1 Hmga1
MA2125.1 Zfp809
MA2126.1 Zfp961
MA2337.1 Nr1h3
MA2338.1 Ppara
MA2339.1 Nanog
MA2340.1 Zbtb2
MA0006.2 Ahr::Arnt
MA0854.2 Alx1
MA0853.2 Alx4
MA0007.4 Ar
MA0601.2 Arid3b
MA0602.2 Arid5a
MA0603.2 Arntl
MA0874.2 Arx
MA1988.2 Atf3
MA0461.3 Atoh1
MA1467.3 Atoh1
MA0591.2 Bach1::Mafk
MA0489.3 Jun
MA1989.2 Bcl11B
MA1472.3 Bhlha15
MA0840.2 Creb5
MA0467.3 Crx
MA0650.4 Hoxa13
MA0885.3 Dlx2
MA0880.2 Dlx3
MA0881.2 Dlx4
MA1476.3 Dlx5
MA0883.2 Dmbx1
MA1603.2 Dmrt1
MA0611.3 Dux
MA1604.2 Ebf2
MA0136.4 Elf5
MA0480.3 Foxo1
MA0474.4 Erg
MA0643.2 Esrrg
MA1606.2 Foxf1
MA0851.2 Foxj3
MA1607.2 Foxl2
MA0157.4 Foxo3
MA0037.5 Gata3
MA0483.2 Gfi1B
MA1990.2 Gli1
MA0734.4 Gli2
MA0615.2 Gmeb1
MA0092.2 Hand1::Tcf3
MA0739.2 Hic1
